grain,Primary shape,Secondary feature,Fractures
g_629,blocky,none,maybe some
g_630,jagged-vesicular,none,some
g_631,blocky,fluidal,maybe some
g_632,blocky,none,some
g_633,blocky,none,clearly many
g_634,blocky,none,some
g_635,jagged-vesicular,fluidal,maybe some
g_636,elongated-tubular,none,none observed
g_637,blocky,none,clearly many
g_638,elongated-tubular,fluidal,none observed
g_639,blocky,none,some
g_640,blocky,none,maybe some
g_641,jagged-vesicular,none,some
g_642,jagged-vesicular,none,none observed
g_643,blocky,none,clearly many
g_644,elongated-tubular,none,none observed
g_645,blocky,none,maybe some
g_646,elongated-tubular,none,some
g_647,blocky,fluidal,maybe some
g_648,blocky,none,maybe some
g_649,elongated-tubular,none,maybe some
g_650,fluidal,none,maybe some
g_651,blocky,none,some
g_652,blocky,none,some
g_653,blocky,none,some
g_654,blocky,none,clearly many
g_655,jagged-vesicular,none,some
g_656,blocky,none,clearly many
g_657,blocky,jagged-vesicular,maybe some
g_658,blocky,none,clearly many
g_659,elongated-tubular,none,maybe some
g_660,blocky,none,some
g_661,jagged-vesicular,none,some
g_662,jagged-vesicular,none,none observed
g_663,jagged-vesicular,none,maybe some
g_664,fluidal,none,none observed
g_665,jagged-vesicular,none,none observed
g_666,blocky,none,some
g_667,jagged-vesicular,blocky,some
g_668,blocky,fluidal,some
g_669,jagged-vesicular,none,maybe some
g_670,elongated-tubular,none,some
g_671,blocky,none,some
g_672,blocky,none,none observed
g_673,elongated-tubular,none,none observed
g_674,elongated-tubular,none,some
g_675,elongated-tubular,none,maybe some
g_676,jagged-vesicular,none,none observed
g_677,blocky,none,clearly many
g_678,elongated-tubular,none,some
g_679,blocky,none,some
g_680,blocky,none,some
g_681,blocky,none,some
g_682,blocky,none,none observed
g_683,elongated-tubular,none,none observed
g_684,blocky,none,clearly many
g_685,blocky,fluidal,none observed
g_686,fluidal,none,none observed
g_687,blocky,none,some
g_688,elongated-tubular,none,maybe some
g_689,fluidal,none,none
g_690,blocky,none,maybe some
g_691,blocky,none,clearly many
g_692,elongated-tubular,blocky,maybe some
g_693,elongated-tubular,none,some
g_694,fluidal,elongated-tubular,maybe some
g_695,jagged-vesicular,none,some
g_696,jagged-vesicular,none,some
g_697,blocky,none,clearly many
g_698,blocky,none,clearly many
g_699,blocky,none,some
g_700,blocky,none,maybe some
g_701,fluidal,elongated-tubular,none
g_702,elongated-tubular,none,maybe some
g_703,blocky,none,clearly many
g_704,blocky,none,some
g_705,jagged-vesicular,none,maybe some
g_706,elongated-tubular,none,some
g_707,blocky,none,clearly many
g_708,jagged-vesicular,none,some
g_709,fluidal,none,none observed
g_710,elongated-tubular,none,none
g_711,blocky,none,some
g_712,blocky,elongated-tubular,some
g_713,blocky,fluidal,none observed
g_714,blocky,none,clearly many
g_715,jagged-vesicular,none,some
g_716,blocky,none,some
g_717,jagged-vesicular,none,maybe some
g_718,blocky,none,clearly many
g_719,blocky,none,clearly many
g_720,blocky,none,some
g_721,blocky,none,some
g_722,blocky,none,some
g_723,jagged-vesicular,none,some
g_724,jagged-vesicular,none,maybe some
g_725,elongated-tubular,fluidal,clearly many
g_726,blocky,elongated-tubular,some
g_727,blocky,none,some
g_728,blocky,none,clearly many
g_729,fluidal,none,some
g_730,blocky,none,some
g_731,blocky,none,clearly many
g_732,blocky,none,some
g_733,elongated-tubular,none,some
g_734,blocky,none,maybe some
g_735,blocky,none,some
g_736,blocky,none,clearly many
g_737,blocky,none,some
g_738,jagged-vesicular,none,clearly many
g_739,blocky,none,clearly many
g_740,jagged-vesicular,none,none observed
g_741,blocky,none,some
g_742,elongated-tubular,none,some
g_743,jagged-vesicular,none,some
g_744,blocky,fluidal,some
g_745,jagged-vesicular,blocky,clearly many
g_746,blocky,none,maybe some
g_747,blocky,none,maybe some
g_748,elongated-tubular,none,maybe some
g_749,elongated-tubular,none,maybe some
g_750,elongated-tubular,none,none observed
g_751,blocky,none,some
g_752,fluidal,none,maybe some
g_753,blocky,none,some
g_754,elongated-tubular,fluidal,none observed
g_755,blocky,none,some
g_756,blocky,elongated-tubular,maybe some
g_757,jagged-vesicular,none,some
g_758,elongated-tubular,none,some
g_759,elongated-tubular,none,none observed
