filename,type,p,A,w,b,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,,Circ_DL,Rec_DL,Com_DL,Elo_DL,,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_H,Con_LL,Sol_LL,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
Electron Image 17-24.tif,Eltub,615.529,14928,106.2179,203.351,433.1175,198,73.6471,202,109,137.8656,528.86,16768,539.4659,192.4013,103.5305,203.3544,106.2179,203.351,204,,1.4212,0.99417,0.69113,2.6885,,0.49512,1.8584,0.87643,0.89027,,0.70365,0.4604,0.5396,137.8656,0.8592,0.89027,,0.49512,0.5381,0.8592,0.89027,,0.45963,0.69113,0.49512,0.52234,1.9145,0.15728
Electron Image 17-29.tif,Eltub,955.5189,33033,145.0123,336.8957,644.2864,306,97.8757,342,157,205.0827,879.2275,38225,926.7471,330.6037,139.0817,348.4322,145.0123,336.8957,349,,1.4831,0.99139,0.67616,3.1264,,0.45465,2.377,0.96989,0.86417,,0.67428,0.54094,0.45906,205.0827,0.92016,0.86417,,0.45465,0.42069,0.92016,0.86417,,0.34643,0.67616,0.45465,0.43044,2.3232,0.1065
Electron Image 18-01.tif,Eltub,713.394,16860,99.9061,266.5012,460.2923,260,63.1536,267,105,146.5156,669.8793,21279,675.2021,287.0849,89.3147,267.6061,99.9061,266.5012,269,,1.5499,0.9735,0.63324,4.1169,,0.4163,3.2143,0.94646,0.79233,,0.64521,0.60674,0.39326,146.5156,0.939,0.79233,,0.4163,0.31111,0.939,0.79233,,0.29976,0.63324,0.4163,0.37488,2.6675,0.079022
Electron Image 18-04.tif,Eltub,911.058,33688,157.0751,319.0131,650.6427,301,105.7125,320,159,207.106,808.6072,38440,810.0967,313.8944,144.4658,320.3701,157.0751,319.0131,321,,1.4002,0.95682,0.67229,2.8473,,0.51003,2.1728,0.88918,0.87638,,0.71416,0.50313,0.49688,207.106,0.88755,0.87638,,0.51003,0.46024,0.88755,0.87638,,0.41791,0.67229,0.51003,0.49238,2.031,0.1433
Electron Image 18-12.tif,Eltub,1142.8641,53957,155.8708,424.3457,823.4341,425,127.2776,425,159,262.1072,1093.1484,56974,1190.3143,449.1055,157.8496,430.8269,155.8708,424.3457,432,,1.3879,0.98486,0.81576,3.3392,,0.51912,2.8451,1.0415,0.94705,,0.7205,0.62588,0.37412,262.1072,0.9565,0.94705,,0.51912,0.35148,0.9565,0.94705,,0.37013,0.81576,0.51912,0.36732,2.7224,0.15674
Electron Image 20-11.tif,Eltub,403.4874,6926,57.5634,147.9986,295.0164,148,46.5436,148,59,93.9066,395.8721,7970,414.3653,162.9831,57.128,150.2341,57.5634,147.9986,151,,1.3677,0.98143,0.81298,3.1798,,0.5346,2.8529,1.027,0.86901,,0.73117,0.60135,0.39865,93.9066,0.98113,0.86901,,0.5346,0.35052,0.98113,0.86901,,0.39071,0.81298,0.5346,0.38895,2.5711,0.16981
Electron Image 20-12.tif,Eltub,658.2153,19467,110.6683,253.2507,494.6004,232,76.6614,256,115,157.4362,630.0732,20905,647.6101,237.8715,109.6434,257.2567,110.6683,253.2507,258,,1.3308,0.90434,0.69458,3.0263,,0.56464,2.1695,0.98389,0.93121,,0.75143,0.55078,0.44922,157.4362,0.95724,0.93121,,0.56464,0.46094,0.95724,0.93121,,0.37452,0.69458,0.56464,0.43699,2.2884,0.14688
Electron Image 20-16.tif,Eltub,750.2885,16171,68.193,297.6099,450.7891,296,54.3456,297,68,143.4906,699.2001,18929,803.3682,333.967,67.9098,297.6928,68.193,297.6099,298,,1.6644,1.0255,0.7968,5.4466,,0.36099,4.9178,1.0707,0.8543,,0.60082,0.77104,0.22896,143.4906,0.93191,0.8543,,0.36099,0.20334,0.93191,0.8543,,0.23233,0.7968,0.36099,0.22914,4.3642,0.066827
Electron Image 20-2.tif,Eltub,900.0214,39244,163.022,273.4594,702.2497,273,143.7117,272,165,223.533,852.3646,40795,898.5066,293.9961,176.274,295.5902,163.022,273.4594,293,,1.2816,1.031,0.88031,1.8996,,0.6088,1.6678,0.99832,0.96198,,0.78026,0.39338,0.60662,223.533,0.94705,0.96198,,0.6088,0.59958,0.94705,0.96198,,0.57188,0.88031,0.6088,0.59615,1.6774,0.30649
Electron Image 21-04.tif,Eltub,1016.3961,27501,77.3462,433.8634,587.8671,433,63.2115,434,77,187.1239,1003.325,30117,1115.7742,464.2288,79.0193,433.8963,77.3462,433.8634,434,,1.729,0.99411,0.81951,6.85,,0.33453,5.8749,1.0978,0.91314,,0.57838,0.82258,0.17742,187.1239,0.98714,0.91314,,0.33453,0.17022,0.98714,0.91314,,0.18599,0.81951,0.33453,0.17827,5.6094,0.050989
